"id_piezo"	"id_method_ML"	"type"	"r"	"use_exo_rain"	"use_exo_eto"	"use_exo_bdlisa"	"approx_exo"	"rmsse"	"mse"
"03175X0338/PZ"	"lm"	"Local"	100	FALSE	FALSE	FALSE	FALSE	1.14904997717883	0.00187610490112528
"03175X0338/PZ"	"lm"	"Local"	100	FALSE	FALSE	FALSE	TRUE	1.14904997717883	0.00187610490112528
"03175X0338/PZ"	"lm"	"Local"	100	TRUE	FALSE	FALSE	FALSE	3.13210991615189	0.0139396949536467
"03175X0338/PZ"	"lm"	"Local"	100	TRUE	FALSE	FALSE	TRUE	2.77407857945152	0.0109349499315287
"03175X0338/PZ"	"lm"	"Local"	100	TRUE	TRUE	FALSE	FALSE	1.42668056267766	0.0028922296223306
"03175X0338/PZ"	"lm"	"Local"	100	TRUE	TRUE	FALSE	TRUE	1.35557999023038	0.00261113652771693
"03175X0338/PZ"	"svr"	"Local"	100	FALSE	FALSE	FALSE	FALSE	1.15064703208344	0.00188132369024604
"03175X0338/PZ"	"svr"	"Local"	100	FALSE	FALSE	FALSE	TRUE	1.15064703208344	0.00188132369024604
"03175X0338/PZ"	"svr"	"Local"	100	TRUE	FALSE	FALSE	FALSE	1.32760023802435	0.00250445898823501
"03175X0338/PZ"	"svr"	"Local"	100	TRUE	FALSE	FALSE	TRUE	1.38526067572123	0.00272673098156153
"03175X0338/PZ"	"svr"	"Local"	100	TRUE	TRUE	FALSE	FALSE	1.13275750013971	0.0018232791844601
"03175X0338/PZ"	"svr"	"Local"	100	TRUE	TRUE	FALSE	TRUE	1.20425920619927	0.00206072116298735
"03175X0338/PZ"	"rf"	"Local"	100	FALSE	FALSE	FALSE	FALSE	1.02131439139727	0.00148217056546392
"03175X0338/PZ"	"rf"	"Local"	100	FALSE	FALSE	FALSE	TRUE	1.02131439139727	0.00148217056546392
"03175X0338/PZ"	"rf"	"Local"	100	TRUE	FALSE	FALSE	FALSE	1.8309197397703	0.00476340924309845
"03175X0338/PZ"	"rf"	"Local"	100	TRUE	FALSE	FALSE	TRUE	1.68560757459926	0.00403731122711909
"03175X0338/PZ"	"rf"	"Local"	100	TRUE	TRUE	FALSE	FALSE	1.7139750608689	0.00417434440730243
"03175X0338/PZ"	"rf"	"Local"	100	TRUE	TRUE	FALSE	TRUE	1.64119244653482	0.00382735106698171
"03175X0338/PZ"	"ARIMA"	"Local"	NA	FALSE	FALSE	FALSE	FALSE	1.53029989381723	0.00332760966726918
"03175X0338/PZ"	"ARIMA"	"Local"	NA	TRUE	FALSE	FALSE	FALSE	1.50423285557347	0.00321521057625219
"03175X0338/PZ"	"ARIMA"	"Local"	NA	TRUE	TRUE	FALSE	FALSE	NA	NA
"03175X0338/PZ"	"ARIMA"	"Local"	NA	FALSE	FALSE	FALSE	TRUE	1.53029989381723	0.00332760966726918
"03175X0338/PZ"	"ARIMA"	"Local"	NA	TRUE	FALSE	FALSE	TRUE	1.56474650678824	0.00347910280852284
"03175X0338/PZ"	"ARIMA"	"Local"	NA	TRUE	TRUE	FALSE	TRUE	1.45005136313393	0.00298776236839179
