dataset_name,DeepAR-G,DeepAR-G+eto,DeepAR-G+rain,DeepAR-G+rain+eto,DeepAR-L,DeepAR-L+eto,DeepAR-L+rain,DeepAR-L+rain+eto,LM,LM+eto,LM+rain,LM+rain+eto,NeuralProphet-G,NeuralProphet-G+eto,NeuralProphet-G+rain,NeuralProphet-G+rain+eto,NeuralProphet-L,NeuralProphet-L+eto,NeuralProphet-L+rain,NeuralProphet-L+rain+eto,Prophet,Prophet+eto,Prophet+rain,Prophet+rain+eto,RF,RF+eto,RF+rain,RF+rain+eto,SVR,SVR+eto,SVR+rain,SVR+rain+eto,XGB,XGB+eto,XGB+rain,XGB+rain+eto
06367X0172/F,3.582009137862262,8.768793611113885,12.37412653652592,15.409514615691744,2.776962073050864,6.0959581241937775,12.313212906321164,3.6444133797463314,2.51243000614031,5.8278485590031,9.71568683253361,4.77059997417241,155.12956003545847,1.4731823305774705,1.2572510933097227,1.3423701266433097,17.233426906863478,2.2107774476667235,1.738755410147881,3.646728042561073,15.24390774734932,15.120238632094209,15.311991640971852,15.293579025722604,3.79736285286735,3.56360605017816,4.37122430509558,3.06534135558534,5.56624189947075,2.58344631653628,3.24023479494763,4.27432487009741,7.70612409924925,9.34646733792636,17.5652430281166,12.5659244274437
06373X0113/P,9.589474988916615,13.823688347441712,17.218838270406664,21.680528441080263,62.19070982175264,39.93609633393792,32.723353394558124,9.588647408899178,9.8372479313703,7.32643005480046,22.5382320378337,10.5791934124415,89.76386094842083,1.874499377560482,1.4349867207707412,1.672265486713935,26.52189138811257,3.0648960308911053,7.677703782852935,5.692413742761679,35.28596493772083,35.52204017392137,35.16255010851801,35.7054368712146,1.76152743818965,10.8820129731051,25.9186940966038,25.9951828490094,9.43911770192045,17.4077851142179,7.73848731354235,9.38454983417122,2.62824551906593,22.5127172157168,25.9547103136697,24.1396508259107
06375X0003/P,10.644577567499942,10.354674611312545,13.00913571110173,16.635183420636405,22.493145269511302,62.69433036698143,17.498936393277305,27.740411319741582,25.2071870677892,6.75070139717796,51.2448261242212,40.6478549534126,101.98180105008382,1.489648223076402,1.237948983533041,1.4412589347176856,13.256430592860733,3.267620236891541,2.4944322284691425,3.1619528311477265,25.49072722610329,26.0499804507402,24.81206281619204,24.196928706516072,24.5586816992917,10.2450312611229,57.6279734705404,56.273249425223,28.7600488701839,29.005125337175,40.8410752366271,39.2210814974612,55.908131375743,67.4778116158099,67.8999001718817,68.0760928868816
06375X0024/PIEZO,15.316021847297757,20.358863513067654,23.004575565127386,34.023698057225886,24.611622709283008,66.10727199242089,64.12113358664533,34.35016076383953,4.55366396672311,9.20612867440223,54.5931682795043,23.8620470635497,19.89572074077869,1.900345022015278,1.7242754498104234,1.9598009650084909,12.338147740327653,7.653670418708704,3.6012596335258533,5.316171830911936,25.86710442964554,24.226189979287696,22.4125166852726,26.738399116327088,3.86773321359542,8.58582636894999,28.3755334925068,27.7648558150665,11.3183688110102,32.9140206792264,12.5430718641443,15.6627470553876,9.36873276268885,48.9139388628277,50.8627396726965,51.4171954116203
06376X0020/P,13.95853162873963,16.406421596540604,18.45831728828805,20.63403276923468,6.642607930053292,11.177339776496622,29.891225478079686,15.362605813852028,7.71099905199978,8.63129126848777,23.9840302956596,9.71811470583521,34.08184920737856,1.8675007392817329,1.544652159927686,1.7924434724975509,9.36545829916299,2.6134928075132584,14.683745906736869,8.71091767508171,9.162718724812663,9.257539848398668,9.260490058057387,9.318549822711264,4.24824281519641,19.6100921345921,5.80308164943842,4.59728688149047,4.81898063019066,23.9743364061973,12.4127252322084,14.1003045662135,3.93379163062912,39.3440964491872,39.4991675048115,40.0279337693307
06381X0033/S,55.021818664480016,38.79394901643177,54.53988779490328,76.7813782164026,31.12303455295574,17.364077809310125,36.387073772809785,45.118442433187305,10.1502440283535,3.62139558208426,33.3934727638339,3.66052547624457,290.8761670166525,0.8894163570804607,1.015428617248514,1.0827347131140637,3.6642529737124536,3.708002414643589,1.5773823187445797,2.6508078465014995,7.339844849841806,7.19409719347985,7.201097971767439,7.1829909896994,10.3319085146002,12.8312822224313,10.6309889972093,11.3527284294589,32.1811000334269,3.56401384013256,43.2501478267279,36.2466017922471,9.51508886457724,5.75269811399731,4.91859956623581,3.47407401252011
06381X0040/S,8.556538560285535,15.042185562126074,8.59055898537475,7.703478835912692,14.252656932092584,6.38563910268019,13.152124527530637,21.727921576402046,8.75771184749949,5.10647880388797,14.7917519898718,5.0890728039437,29.3324904642811,1.2222472655315666,0.9545036305005852,1.085630108526735,48.81960544004652,17.088954312309923,2.0291553836275216,5.557780143119154,52.03162435195686,51.8244102902127,51.95306898949802,52.000989483900334,6.52058921832514,5.22577550787872,10.6330000082452,10.3296754136819,3.64200157108122,11.1332637263117,12.3911887606942,10.6780355492452,6.89124278196682,9.56054559941865,12.318018934672,8.27255187222729
06401X0010/P1,5.278459461511592,10.584705241025452,10.49149448736052,16.05064864733597,21.27564725970924,23.56286953091086,18.75980050526769,34.53145762526684,8.84756202238487,7.0268355363608,2.01919405825729,4.06652455917304,360.59574689730897,1.757092494045606,1.4463672385315676,1.5999932746381031,14.131980588060882,3.492392875293898,1.7285588475211633,6.748189190583663,12.318141607733043,12.084591727652048,12.309036004113851,12.079785911486669,4.85039565558112,8.66595101288168,3.81475752302035,3.21168317512731,9.81178619849856,5.5986259627627,6.78311474733046,6.0186552810157,5.06658918675259,3.74898103446964,4.01604620559627,2.82340972918868
06417X0014/P1,12.223578608722857,5.887236216911193,5.197148954285435,12.466123984570793,7.011229430191378,11.482106679687748,10.01041009941086,13.772437890277876,4.31008472922481,4.15750080497883,6.15774052313398,2.72702267638521,589.9023537857528,1.7390738135090198,1.4895376499561976,1.6841543960191774,6.134804956064725,1.4842338249309537,1.3082750481571317,1.5577289060674782,5.794038427757055,5.707662863817106,5.775530065783238,5.698393340956619,2.85688815592201,4.41762076006566,5.54284161290175,5.40624233920325,9.82943584402505,2.71236128225465,2.72712755364966,2.90967853720295,2.98802308607838,12.8476482699275,9.5133400928698,9.99076369051602
06417X0015/P2,92.4530940763496,46.67347638960884,39.36609580506743,87.73623159513434,30.945347953359864,7.279998632361538,38.06315770196024,3.054445948541995,10.4550555428804,4.87719004773117,1.58669191867293,4.36852484119239,4229.320736902475,6.524204320476226,9.262583500728896,11.317655202934915,16.651958670080752,5.056663094831901,1.3342516740153287,5.887377697380205,27.317983384041167,27.334510733164187,27.3061143062019,27.18302603506845,5.76020036571133,3.39447886723205,4.00530467656508,4.45133875663011,18.7605388005965,1.77613182359072,14.9140849685276,14.0703109599507,5.83837771026304,2.48326832710844,2.60365988110714,3.60824527572766
06426X0015/P1,9.51216357246322,3.1544186483701537,2.767690823643356,7.555733497961905,2.551493721336365,7.16846162824056,7.37200700391921,11.10329609407136,3.32133045434324,1.88588963514007,2.32777009655772,1.22820388967612,244.1634781692932,0.8646776597581772,0.8519369172448,0.9058321769488074,3.8869494346516382,1.2301385797906597,0.8040478598518397,0.9265785365826978,4.043488203162633,3.9511258187388023,4.092062445562063,3.9435493762208607,3.95695767320599,1.33376601280051,1.31626141534855,1.27747562242548,6.39060184349719,1.1791303624394,1.62635664547136,1.21573539463151,2.58097428991595,5.09632486406354,4.2056964808576,4.46241540867593
06432X0059/P1,7.189791070879364,20.414548319110818,29.31614942663156,33.61009532994632,25.68071064216839,9.582667537229783,24.31924660378048,14.308050013935809,15.8798712307523,5.61931755818422,26.978092107618,6.71147538237458,517.3770128524774,1.800434624892102,1.6218470576522777,1.7857438175182825,5.8480253555108925,3.0194172316756656,3.6173090504179792,3.535763481155086,5.473822873790788,5.525550609436719,5.413152371544967,5.444962026253376,10.0113104080405,7.7993003909075,2.90627287840028,3.84592184528061,12.1091343746999,8.19104355644598,17.2027296870581,15.2653109604157,2.59047368214106,7.72111108092878,9.37712661761233,10.3177366874109
06432X0060/P2,6.853802717669212,19.437729621671583,31.007287839640792,33.23665278984071,36.94473437551377,22.643704965602325,23.01370588870794,8.387600411639971,15.2810898631491,5.46270931915883,27.0076837929117,6.97774556714434,492.8456328498129,1.7710888506544546,1.5665986014997966,1.7279191319590923,6.997540559429573,3.363376291745406,2.5707473090954838,5.556908533188555,6.352625299336711,6.379772732046967,5.940397260148714,6.088212469478791,2.92352673227965,8.08652217916442,5.44070439094474,5.76007589507759,15.3196698252288,8.95031599938867,13.7029892500058,12.4754330383073,3.78241761445837,8.08557937135256,10.0870978083978,12.6226492458067
06432X0061/P1,10.582649395175409,10.117325333081569,10.753251342621576,20.60391778073652,4.785001085689789,15.850265244595322,14.59281654835048,7.483863075331721,8.21546158771246,4.18255564243915,10.0582855227893,2.73319511050143,701.4843399864142,1.1359102433652182,1.0459850369095138,1.314348833809735,11.808458604388152,3.3684063059823783,8.430543120838923,4.663880106587162,7.95073591306944,7.818179410462648,8.112626865800907,7.619538970941416,11.5096877609386,4.50015770021622,10.0757136045702,8.0044761553401,12.5099083230523,6.83086643995658,2.4373151148138,4.03027833554183,7.2693741074857,15.9449025525061,15.749104376752,12.7324780701954
06455X0041/PUITS,51.17517655061079,23.38223663188092,46.13143017334782,53.63101678744402,14.736591482966633,18.45888291380688,46.5330564876022,19.45885130755819,18.304574261029,7.63571873941024,22.4993103578436,10.5529750453419,924.82479542789,1.87745310960849,1.415583669775906,1.7131692778224432,9.293533674468993,3.948499440439337,15.740052674540427,7.770869953993471,6.485954601517581,6.5514054337647085,6.479508062422017,6.498991391114269,26.3090163543154,7.58228053966645,17.9542623821922,12.0206191777944,22.1136221494553,12.2325278674308,18.457527518083,14.2909839768851,12.5029016497704,32.8461071934372,38.1387262419507,35.0469071512405
